campaign_id,total_min_watched,impressions,clicks,VOD,Live_TV,Classics,Comedy,Other,Reality,News and Information,Drama,Action & Adventure,Thriller,Sci-Fi & Fantasy,Horror,Western,Documentaries,Sports,Instructional & Educational,Home & Lifestyle,Romance,Anime,Musical,Independent,Entertainment,Paranormal,Music,Gay & Lesbian,Crime,Food & Cooking,Faith & Spirituality,Game Show,Dance,Children & Family,Telenovela,Talk Show,Variety Show,War,Young Adult,None,latitude,longitude,01,02,04,06,08,1,11,12,13,35,41,62,75,8,94,A,AB,AK,AL,AR,AZ,BC,BCN,BE,BG,BW,BY,CA,CHP,CMX,CO,CT,DC,DE,DJ,ENF,ENG,FL,GA,GE,HCW,HE,HI,IA,ID,IL,IN,KN,KS,KY,L,LA,M,MA,MAN,MD,ME,MI,MN,MO,MOR,MS,MT,NC,ND,NE,NH,NJ,NL,NM,NV,NW,NY,OH,OK,ON,OR,PA,PE,PM,QC,QUE,RG,RI,SC,SD,SN,SON,SP,SRY,TA,TAM,TN,TP,TV,TX,UT,VA,VD,VE,VT,WA,WI,WV,WY,Z,ZAC,ZH,num_devices,avg_time_watched_per_device,score
campaign_id_1,3554648.0,316728.0,91713.0,0,0,16282.0,31195.0,12668.0,9547.0,14809.0,16592.0,29888.0,8759.0,16693.0,2655.0,1657.0,8846.0,4131.0,1272.0,568.0,6224.0,586.0,2074.0,2550.0,1562.0,370.0,1632.0,144.0,849.0,72.0,198.0,72.0,54.0,157.0,13.0,1.0,3.0,0.0,0.0,0.0,1780922.764928,-4335286.403544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,742,311,1102,0,0,0,0,0,0,4537,0,0,646,593,188,214,0,0,0,3949,2240,0,0,0,95,381,190,1973,957,0,278,632,0,780,0,809,0,1134,117,1459,588,754,0,487,81,1970,89,211,140,1512,0,203,540,0,2961,1664,511,0,485,2200,0,0,0,0,0,163,1000,93,0,0,0,0,0,0,1126,0,0,4317,325,1323,0,0,51,880,642,196,45,0,0,0,48073,73.94271212530943,Good
campaign_id_10,659177.0,49948.0,7653.0,0,0,2207.0,6525.0,2343.0,1132.0,3068.0,2742.0,2905.0,1357.0,1891.0,475.0,263.0,1788.0,1445.0,922.0,48.0,1461.0,92.0,208.0,419.0,178.0,34.0,192.0,26.0,292.0,25.0,34.0,2.0,9.0,91.0,3.0,2.0,4.0,0.0,0.0,0.0,352915.038267,-857081.231479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,148,69,196,0,0,0,0,0,0,894,0,0,156,120,38,44,0,0,0,748,432,0,0,0,13,65,35,409,201,0,57,136,0,118,0,167,0,210,18,274,137,173,0,96,16,381,14,50,27,312,0,42,111,0,536,336,101,0,102,423,0,0,0,0,0,44,205,20,0,0,0,0,0,0,243,0,0,829,63,246,0,0,15,190,138,54,4,0,0,0,9496,69.4162805391744,Fair
campaign_id_108,615897.71,38533.0,11496.0,5269,0,1184.0,2819.0,10.0,769.0,781.0,3593.0,1096.0,441.0,2195.0,386.0,121.0,1497.0,5.0,242.0,31.0,822.0,198.0,78.0,147.0,2.0,1.0,22.0,13.0,25.0,18.0,8.0,6.0,4.0,176.0,12.0,6.0,0.0,0.0,0.0,0.0,253851.179828,-620197.896964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,134,104,164,0,0,0,0,0,0,492,0,0,107,72,18,27,0,0,0,534,259,0,0,0,24,101,47,218,150,0,75,124,0,79,0,83,0,118,35,180,108,168,0,106,30,272,27,50,22,166,0,60,59,0,305,241,102,0,70,284,0,0,0,0,0,27,132,26,0,0,0,0,0,0,189,0,0,584,81,189,0,0,12,127,118,57,23,0,0,0,6841,90.0303625200994,Excellent
campaign_id_109,2077710.72,125844.0,42215.0,31873,0,3323.0,5650.0,7.0,1977.0,1130.0,5587.0,24582.0,2631.0,4741.0,607.0,129.0,1655.0,9.0,352.0,43.0,1016.0,305.0,243.0,525.0,1.0,4.0,79.0,15.0,89.0,62.0,26.0,11.0,11.0,302.0,3.0,2.0,0.0,0.0,0.0,0.0,994983.002591,-2432493.088009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,480,419,577,0,0,0,0,0,0,1894,0,0,403,228,57,89,0,0,0,1580,919,0,0,0,153,458,241,822,576,0,289,439,0,404,0,337,0,583,155,699,496,663,0,383,120,1175,82,233,99,708,0,201,234,0,1188,863,421,1,271,1070,0,0,0,0,0,114,639,109,0,0,0,0,0,0,724,0,0,2640,258,759,0,0,55,449,457,219,77,0,0,0,26703,77.80813841141445,Good
campaign_id_11,478164.0,30159.0,865.0,0,0,2009.0,4198.0,1491.0,1544.0,2001.0,2116.0,3847.0,918.0,2280.0,330.0,275.0,1275.0,450.0,313.0,54.0,886.0,80.0,277.0,384.0,202.0,54.0,184.0,15.0,103.0,10.0,22.0,9.0,5.0,34.0,0.0,1.0,0.0,0.0,0.0,0.0,243672.957841,-593590.552431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,71,48,148,0,0,0,0,0,0,721,0,0,106,70,22,25,0,0,0,450,219,0,0,0,18,52,26,284,125,0,61,70,0,93,0,140,0,143,25,233,107,135,0,51,17,209,17,41,20,209,0,31,68,0,409,229,62,0,69,284,0,0,0,0,0,32,114,12,0,0,0,0,0,0,151,0,0,596,54,166,0,0,12,131,89,16,5,0,0,0,6503,73.52975549746272,Good
campaign_id_110,3767599.41,400938.0,215365.0,50052,0,16787.0,18472.0,108.0,9141.0,3358.0,18137.0,27053.0,6485.0,12213.0,1612.0,1407.0,7483.0,4.0,744.0,72.0,3878.0,1097.0,720.0,803.0,4.0,1.0,213.0,233.0,233.0,89.0,48.0,26.0,31.0,603.0,13.0,2.0,4.0,0.0,0.0,0.0,1631176.462907,-3990795.064595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,1003,643,1021,0,0,0,0,0,0,2654,0,0,726,366,156,96,0,0,0,2763,1755,0,0,0,164,839,327,1548,988,0,450,778,0,659,0,441,0,841,204,1251,824,1093,0,493,199,1875,135,412,169,824,0,379,358,0,1752,1491,763,0,444,1754,0,0,0,0,0,139,1144,167,0,0,0,0,0,0,1297,0,0,4352,567,1220,0,0,65,745,808,374,127,0,0,0,44010,85.60780299931834,Excellent
campaign_id_111,4463070.5200000005,159482.0,19190.0,56539,0,4835.0,9188.0,100.0,3984.0,2706.0,10802.0,48807.0,4654.0,4651.0,1052.0,644.0,3693.0,10.0,492.0,80.0,2725.0,846.0,369.0,378.0,5.0,3.0,88.0,57.0,82.0,77.0,82.0,1.0,37.0,384.0,5.0,0.0,1.0,0.0,0.0,0.0,2156291.984676,-5293428.523357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,1229,857,1400,0,0,0,0,0,0,4436,0,0,921,597,154,162,0,0,0,3921,2135,0,0,0,223,899,491,1790,1092,0,597,994,0,861,0,719,0,1149,285,1520,961,1381,0,773,247,2327,174,465,230,1510,0,510,501,0,2640,1880,960,0,555,2310,0,0,0,0,0,235,1385,240,0,0,0,0,0,0,1523,0,0,5658,594,1491,0,0,104,1021,907,443,150,0,0,0,58028,76.91236161852899,Good
campaign_id_112,1317931.99,96341.0,45437.0,22746,0,6960.0,5771.0,16.0,1692.0,984.0,2915.0,12026.0,880.0,2016.0,463.0,846.0,2705.0,20.0,290.0,41.0,1784.0,384.0,172.0,756.0,11.0,1.0,31.0,53.0,81.0,59.0,14.0,6.0,3.0,236.0,12.0,9.0,0.0,0.0,0.0,0.0,483060.587906,-1189925.914446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,281,207,309,0,0,0,0,0,0,1044,0,0,188,125,41,32,0,0,0,918,531,0,0,0,61,199,83,451,253,0,123,217,0,186,0,157,0,238,42,360,219,318,0,231,44,519,30,116,65,303,0,96,109,0,548,429,202,0,131,514,0,0,0,0,0,64,306,43,0,0,0,0,0,0,361,0,0,1238,104,369,0,0,17,224,174,110,37,0,0,0,13068,100.85185108662381,Excellent
campaign_id_113,1612716.97,210767.0,98255.0,17924,0,7434.0,10890.0,56.0,4989.0,4088.0,8284.0,13952.0,2720.0,7004.0,1843.0,61.0,4139.0,21.0,1070.0,68.0,3512.0,743.0,1298.0,776.0,5.0,4.0,254.0,200.0,96.0,38.0,35.0,2.0,56.0,419.0,14.0,0.0,0.0,0.0,0.0,0.0,1449182.285341,-3572973.610951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,925,549,938,0,0,0,0,0,0,2822,0,0,595,360,151,123,0,0,0,2577,1420,0,0,0,190,679,365,1398,840,0,376,631,0,642,0,430,0,710,203,1054,684,1015,0,548,162,1577,137,318,138,802,0,363,343,0,1557,1327,674,0,411,1434,0,0,0,0,0,136,940,135,0,0,0,0,0,0,1111,0,0,3855,424,977,0,0,53,644,679,314,112,0,0,0,39146,41.19749067593113,Fair
campaign_id_114,816525.42,59449.0,22165.0,9247,0,2261.0,4712.0,17.0,975.0,873.0,2062.0,1620.0,477.0,2100.0,1148.0,123.0,1849.0,10.0,146.0,22.0,1167.0,153.0,90.0,145.0,5.0,0.0,25.0,14.0,80.0,24.0,18.0,13.0,1.0,153.0,7.0,0.0,2.0,0.0,0.0,0.0,302090.909339,-737658.676396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,163,135,203,0,0,0,0,0,0,576,0,0,130,69,22,27,0,0,0,493,293,0,0,0,37,137,76,313,187,0,95,152,0,97,0,111,0,187,36,211,119,222,0,132,34,320,26,58,35,183,0,75,63,0,329,275,132,0,84,326,0,0,0,0,0,33,165,40,0,0,0,0,0,0,202,0,0,702,93,243,0,0,16,149,142,73,25,0,0,0,8101,100.79316380693741,Excellent
